Designator,Mid X,Mid Y,Rotation,Layer
D1,33.0,-32.75,0.0,top
D10,51.625,-42.583333,0.0,top
D11,51.625,-52.416666,0.0,top
D12,51.625,-62.249999,0.0,top
D13,60.9375,-32.75,0.0,top
D14,60.9375,-42.583333,0.0,top
D15,60.9375,-52.416666,0.0,top
D16,60.9375,-62.249999,0.0,top
D17,70.25,-32.75,0.0,top
D18,70.25,-42.583333,0.0,top
D19,70.25,-52.416666,0.0,top
D2,33.0,-42.583333,0.0,top
D20,70.25,-62.249999,0.0,top
D21,79.5625,-32.75,0.0,top
D22,79.5625,-42.583333,0.0,top
D23,79.5625,-52.416666,0.0,top
D24,79.5625,-62.249999,0.0,top
D25,88.875,-32.75,0.0,top
D26,88.875,-42.583333,0.0,top
D27,88.875,-52.416666,0.0,top
D28,88.875,-62.249999,0.0,top
D29,98.1875,-32.75,0.0,top
D3,33.0,-52.416666,0.0,top
D30,98.1875,-42.583333,0.0,top
D31,98.1875,-52.416666,0.0,top
D32,98.1875,-62.249999,0.0,top
D33,107.5,-32.75,0.0,top
D34,107.5,-42.583333,0.0,top
D35,107.5,-52.416666,0.0,top
D36,107.5,-62.249999,0.0,top
D37,116.8125,-32.75,0.0,top
D38,116.8125,-42.583333,0.0,top
D39,116.8125,-52.416666,0.0,top
D4,33.0,-62.249999,0.0,top
D40,116.8125,-62.249999,0.0,top
D41,126.125,-32.75,0.0,top
D42,126.125,-42.583333,0.0,top
D43,126.125,-52.416666,0.0,top
D44,126.125,-62.249999,0.0,top
D45,135.4375,-32.75,0.0,top
D46,135.4375,-42.583333,0.0,top
D47,135.4375,-52.416666,0.0,top
D48,135.4375,-62.249999,0.0,top
D49,144.75,-32.75,0.0,top
D5,42.3125,-32.75,0.0,top
D50,144.75,-42.583333,0.0,top
D51,144.75,-52.416666,0.0,top
D52,144.75,-62.249999,0.0,top
D53,154.0625,-32.75,0.0,top
D54,154.0625,-42.583333,0.0,top
D55,154.0625,-52.416666,0.0,top
D56,154.0625,-62.249999,0.0,top
D57,163.375,-32.75,0.0,top
D58,163.375,-42.583333,0.0,top
D59,163.375,-52.416666,0.0,top
D6,42.3125,-42.583333,0.0,top
D60,163.375,-62.249999,0.0,top
D61,172.6875,-32.75,0.0,top
D62,172.6875,-42.583333,0.0,top
D63,172.6875,-52.416666,0.0,top
D64,172.6875,-62.249999,0.0,top
D65,182.0,-32.75,0.0,top
D66,182.0,-42.583333,0.0,top
D67,182.0,-52.416666,0.0,top
D68,182.0,-62.249999,0.0,top
D69,38.0,-57.5,0.0,top
D7,42.3125,-52.416666,0.0,top
D70,39.0,-47.5,0.0,top
D8,42.3125,-62.249999,0.0,top
D9,51.625,-32.75,0.0,top
R1,33.0,-37.666666,0.0,top
R10,116.8125,-37.666666,0.0,top
R11,126.125,-37.666666,0.0,top
R12,135.4375,-37.666666,0.0,top
R13,144.75,-37.666666,0.0,top
R14,154.0625,-37.666666,0.0,top
R15,163.375,-37.666666,0.0,top
R16,172.6875,-37.666666,0.0,top
R17,182.0,-37.666666,0.0,top
R2,42.3125,-37.666666,0.0,top
R3,51.625,-37.666666,0.0,top
R4,60.9375,-37.666666,0.0,top
R5,70.25,-37.666666,0.0,top
R6,79.5625,-37.666666,0.0,top
R7,88.875,-37.666666,0.0,top
R8,98.1875,-37.666666,0.0,top
R9,107.5,-37.666666,0.0,top
