Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0603,6,100nF,
"C10, C11",0603,2,18pF,
"C12, C27",CP_Elec_4x5.4,2,10uF,
"C13, C14, C26, C7",0603,4,0.1uF,
C15,CP_Elec_4x5.4,1,22uF,
"C16, C17, C18, C19, C20, C21, C22, C23, C24, C25",0603,10,1nF,
"C8, C9",0603,2,2.2uF,
D1,D_SMA,1,SMAJ5.0A,
"D2, D3, D8, D9",0603,4,LED,
"D4, D5, D6, D7",SOT-23,4,BAT54S,
FB1,0603,1,BLM18AG601SN1D,
J1,PinHeader_1x05_P2.54mm_Vertical,1,SWD,
J2,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
P1,JAE_MX23A26NF1,1,MX23A26NF1,
"R1, R11, R2, R40, R45",0603,5,10k,
"R10, R6, R7, R8, R9",0603,5,47k,
"R12, R14, R18, R19, R24, R25",0603,6,1.8k,
"R13, R15, R20, R21, R26, R27",0603,6,3.3k,
"R16, R17, R22, R23, R28, R29",0603,6,100,
R3,0603,1,330,
"R30, R32, R34, R35",0603,4,4.7k,
"R31, R33, R36, R37, R38, R39",0603,6,1k,
R4,0603,1,500,
"R41, R42",0603,2,22,
"R43, R44",0603,2,5.1k,
R46,0603,1,20k,
R5,0603,1,120,
TP1,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,+3V3,
TP2,TestPoint_Pad_1.0x1.0mm,1,ADC1,
TP3,TestPoint_Pad_1.0x1.0mm,1,ADC2,
TP4,TestPoint_Pad_1.0x1.0mm,1,ADC3,
TP5,TestPoint_Pad_1.0x1.0mm,1,ADC4,
TP6,TestPoint_Pad_1.0x1.0mm,1,ADC5,
TP7,TestPoint_Pad_1.0x1.0mm,1,ADC6,
"TP8, TP9",TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,2,GND,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
"U4, U5, U6",SOIC-8_3.9x4.9mm_P1.27mm,3,MCP6002-xSN,
U7,SOT-23-6,1,USBLC6-2SC6,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,
