Designator,Mid X,Mid Y,Rotation,Layer
C1,96.475,-91.0,180.0,bottom
C10,87.375,-101.35,0.0,top
C11,87.375,-95.85,0.0,top
C12,131.7,-127.5,180.0,top
C13,127.0,-130.475,270.0,top
C14,123.5,-107.5,90.0,top
C15,127.25,-107.75,270.0,top
C16,77.975,-89.5,0.0,bottom
C17,84.725,-94.25,180.0,bottom
C18,81.5,-97.75,0.0,bottom
C19,79.75,-105.75,0.0,bottom
C2,109.475,-96.25,180.0,bottom
C20,97.5,-116.5,0.0,bottom
C21,103.25,-121.0,90.0,bottom
C22,111.75,-99.75,0.0,bottom
C23,112.725,-91.25,0.0,bottom
C24,97.725,-86.75,0.0,bottom
C25,113.975,-113.0,0.0,bottom
C26,124.975,-77.0,0.0,top
C27,125.0,-73.5,180.0,top
C3,105.75,-108.0,270.0,bottom
C4,97.25,-109.475,270.0,bottom
C5,91.2,-106.75,180.0,bottom
C6,91.2,-108.5,180.0,bottom
C7,93.475,-69.75,180.0,top
C8,103.25,-108.525,270.0,top
C9,110.25,-96.75,0.0,top
D1,131.75,-122.75,0.0,top
D2,132.5,-119.0375,270.0,top
D3,126.25,-122.0,0.0,top
D4,114.5,-104.0,270.0,bottom
D5,115.3125,-88.55,180.0,bottom
D6,104.55,-86.1875,90.0,bottom
D7,114.0,-110.0,90.0,bottom
D8,79.75,-66.75,0.0,top
D9,79.7125,-72.0,0.0,top
FB1,91.2125,-110.25,0.0,bottom
J1,96.92,-63.5,90.0,top
J2,113.28,-68.965,180.0,top
J3,137.5,-100.0,90.0,top
P1,100.0,-134.1375,0.0,top
R1,93.5,-67.75,0.0,top
R10,109.0,-80.25,90.0,top
R11,124.925,-80.5,0.0,top
R12,69.925,-84.5,0.0,bottom
R13,66.675,-84.5,0.0,bottom
R14,72.925,-95.0,180.0,bottom
R15,76.175,-95.0,180.0,bottom
R16,78.0,-91.25,180.0,bottom
R17,78.0,-93.0,180.0,bottom
R18,70.675,-97.0,180.0,bottom
R19,72.925,-109.375,180.0,bottom
R2,99.175,-84.75,0.0,top
R20,73.925,-97.0,180.0,bottom
R21,72.925,-107.625,0.0,bottom
R22,80.0,-99.75,180.0,bottom
R23,80.0,-101.5,180.0,bottom
R24,93.25,-124.85,90.0,bottom
R25,105.5,-123.175,270.0,bottom
R26,93.25,-121.675,90.0,bottom
R27,103.75,-124.75,270.0,bottom
R28,99.75,-121.0,90.0,bottom
R29,101.5,-121.0,90.0,bottom
R3,123.0,-122.0,0.0,top
R30,115.25,-98.0,180.0,bottom
R31,115.25,-99.75,180.0,bottom
R32,116.675,-125.5,0.0,bottom
R33,110.925,-87.75,180.0,bottom
R34,116.675,-123.75,0.0,bottom
R35,116.675,-122.0,0.0,bottom
R36,100.25,-87.425,90.0,bottom
R37,111.5,-112.5,270.0,bottom
R38,83.425,-66.75,0.0,top
R39,83.425,-72.0,0.0,top
R4,132.5,-115.6125,270.0,top
R40,100.75,-67.75,0.0,top
R41,121.925,-99.25,180.0,top
R42,121.925,-97.5,0.0,top
R43,129.75,-92.75,90.0,top
R44,131.5,-92.75,90.0,top
R45,124.75,-102.675,270.0,top
R46,123.0,-102.675,90.0,top
R5,64.925,-122.5,180.0,top
R6,118.5,-80.25,90.0,top
R7,116.75,-80.25,90.0,top
R8,113.0,-80.25,90.0,top
R9,111.25,-80.25,90.0,top
TP1,134.75,-110.5,0.0,top
TP8,82.0,-123.25,0.0,top
TP9,69.25,-76.25,0.0,top
U1,100.0,-100.0,270.0,top
U2,127.5,-116.4,270.0,top
U3,64.845,-116.025,180.0,top
U4,71.75,-90.75,90.0,bottom
U5,73.775,-102.115,270.0,bottom
U6,98.25,-126.0,270.0,bottom
U7,128.6125,-98.8,0.0,top
Y1,87.25,-98.5,0.0,top
